Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.8315217391304348,0.8141592920353983,0.9019607843137255,0.8558139534883721
Random Forest,0.8206521739130435,0.8165137614678899,0.8725490196078431,0.8436018957345972
KNN,0.8369565217391305,0.8272727272727273,0.8921568627450981,0.8584905660377359
SVM,0.8315217391304348,0.8380952380952381,0.8627450980392157,0.8502415458937198
Decision Tree,0.8097826086956522,0.819047619047619,0.8431372549019608,0.8309178743961353
Gradient Boosting,0.8260869565217391,0.8301886792452831,0.8627450980392157,0.8461538461538461
